"concept_id","concept_name","concept_code","vocabulary_id"
3029905,"Influenza virus A polymerase RNA [Identifier] in Isolate by Sequencing","50711-1","LOINC"
3029994,"Influenza virus A polymerase A RNA [Presence] in Isolate by Sequencing","50706-1","LOINC"
3030205,"Influenza virus A polymerase B2 RNA [Presence] in Isolate by Sequencing","50708-7","LOINC"
3030291,"Influenza virus A polymerase B1 cDNA [Presence] in Isolate by Sequencing","50707-9","LOINC"
3039888,"Influenza virus B RNA [#/volume] (viral load) in Specimen by NAA with probe detection","53251-5","LOINC"
3042219,"Influenza virus A RNA [#/volume] (viral load) in Specimen by NAA with probe detection","53250-7","LOINC"
3044170,"Influenza virus A H6 RNA [Units/volume] (viral load) in Specimen by NAA with probe detection","44265-7","LOINC"
3046387,"Influenza virus A H7 RNA [Units/volume] (viral load) in Specimen by NAA with probe detection","44266-5","LOINC"
3046850,"Influenza virus A RNA [Units/volume] (viral load) in Specimen by NAA with probe detection","44263-2","LOINC"
3046999,"Influenza virus A H5 RNA [Units/volume] (viral load) in Specimen by NAA with probe detection","44264-0","LOINC"
21492987,"Influenza virus A and B Ag panel - Upper respiratory specimen by Rapid immunoassay","80381-7","LOINC"
21492988,"Influenza virus A Ag [Presence] in Upper respiratory specimen by Rapid immunoassay","80382-5","LOINC"
21492989,"Influenza virus B Ag [Presence] in Upper respiratory specimen by Rapid immunoassay","80383-3","LOINC"
36204612,"Influenza virus A polymerase | Isolate","LP65712-9","LOINC"
36205250,"Influenza virus A polymerase A | Isolate","LP65708-7","LOINC"
36208701,"Influenza virus A polymerase B2 | Isolate","LP65710-3","LOINC"
36676235,"Detection of Influenza A virus using PCR - polymerase chain reaction technique","772835009","SNOMED"
37037474,"Influenza virus A polymerase B1 cDNA | Isolate | Microbiology","LP378486-7","LOINC"
37045231,"Influenza virus A polymerase B2 RNA | Isolate | Microbiology","LP378487-5","LOINC"
37052392,"Influenza virus A polymerase RNA | Isolate | Microbiology","LP378488-3","LOINC"
37059233,"Influenza virus A polymerase A RNA | Isolate | Microbiology","LP378485-9","LOINC"
40483307,"Detection of avian influenza A using polymerase chain reaction technique","445346006","SNOMED"
40483371,"Detection of Influenza A virus subtype H1N1 using polymerase chain reaction technique","445403009","SNOMED"
40759145,"Influenza virus A N1 RNA [Units/volume] (viral load) in Specimen by NAA with probe detection","56024-3","LOINC"
40772278,"Influenza virus A polymerase RNA | Isolate","LP113797-7","LOINC"
40784865,"Influenza virus A polymerase B1 | Isolate","LP65709-5","LOINC"
40795425,"Influenza virus A polymerase A RNA | Isolate","LP113795-1","LOINC"
40795426,"Influenza virus A polymerase B2 RNA | Isolate","LP113796-9","LOINC"
43054990,"Influenza virus A and B Ag [Identifier] in Specimen by Rapid immunoassay","72356-9","LOINC"
43054997,"Influenza virus A and B Ag [Identifier] in Nose by Rapid immunoassay","72366-8","LOINC"
43054998,"Influenza virus A+B Ag [Presence] in Nose by Rapid immunoassay","72367-6","LOINC"
44805771,"Influenza A virus antiviral resistance measurement by ribonucleic acid analysis","818951000000104","SNOMED"
